S.No,District,Village Panchayat,School Name,School_id,Category of School,School medium,Pincode,School main area,School located in commerical area,establishment year,Number of Students,Number of Differently abled student,Number of Staff,Number of Classrooms,Number of seats,Number of restrooms,Total School area,Build up area,Extent of land covered by the school,Availabilty of eateries,Availabilty of Mobile eateries,Availabilty of Dining,Availabilty of Hospital,Availabilty of Fire station,Availabilty of Natural tank,Type of Water source,Number of Indian toilets availble for Boys,Number of Indian toilets availble for Girls,Status of the data set collected,Created_date,Modified_date
1,Thiruvallur,Thiruvallur,MUNICIPAL MIDDLE SCHOOL,33010105701,Secondary School,Tamil,602001,Yes,Yes,1940,103,8,8,4,250,2,2500,2000,2500,No,No,Yes,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
2,Thiruvallur,Thiruvallur,MUNICIPAL PRIMARY SCHOOL RAJAJI SALAI,33010106101,Primary School,Tamil,602001,Yes,No,1999,87,3,3,4,100,2,2000,2000,2000,Yes,No,No,Yes,Yes,No,Own,1,1,Incompleted,10-03-2013,10-03-2013
3,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010505901,Primary School,Tamil,623707,Yes,No,1967,130,0,4,6,5,2,98.17,49.55,98.17,No,No,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
4,Thiruvallur,Avadi,MUNICIPAL HIGH SCHOOL,33010505902,High School,Tamil,607105,Yes,No,1967,61,2,2,2,0,0,4800,585,4215,No,Yes,Yes,Yes,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
5,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010506001,Primary School,Tamil,623707,No,Yes,1967,22,0,2,2,0,0,4800,585,4215,No,Yes,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
6,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010506003,Middle School,Tamil,623701,Yes,No,1967,172,3,8,6,220,1,2400,2000,400,No,No,No,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
7,Thiruvallur,Avadi,MUNICIPAL HIGH SCHOOL AVADI,33010506202,High School,Tamil,630001,Yes,Yes,1967,335,2,18,14,50,2,117000,8702,117000,No,No,Yes,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
8,Thiruvallur,Avadi,AVADI MUNICIPAL ELEMENTARY SCHOOL,33010507001,Elementary School,Tamil,623701,Yes,No,1967,70,0,3,6,300,0,7800,3800,4000,No,No,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
9,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010507501,Primary School,Tamil,625516,No,No,1967,28,3,2,2,0,3,7200,2400,7200,No,No,Yes,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
10,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010509301,Middle School,Tamil,623707,No,No,1967,255,10,11,11,300,0,8200,7020,1180,No,No,No,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
11,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010509401,Middle School,Tamil,626125,Yes,No,1967,70,3,6,3,0,1,0,0,0,No,No,Yes,Yes,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
12,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010902902,Primary School,Tamil,623701,No,No,1967,193,1,7,7,0,0,460,303,0,No,No,Yes,No,Yes,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
13,Thiruvallur,Avadi,AVADI MUNICIPAL MIDDLE SCHOOL,33010903201,Middle School,Tamil,625531,Yes,No,1967,268,6,11,10,0,0,33096,25650,0,No,No,Yes,Yes,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
14,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010903202,Primary School,Tamil,623701,Yes,No,1967,157,8,5,8,8,0,0,5500,5500,No,No,Yes,No,No,No,Own,2,2,Incompleted,10-03-2013,10-03-2013
15,Thiruvallur,Avadi,AVADI MUNICIPAL PRIMARY SCHOOL,33010911907,Primary School,Tamil,600054,No,No,1919,184,2,6,11,0,1,0,0,0,No,No,No,Yes,Yes,No,Corporation,2,2,Incompleted,10-03-2013,10-03-2013
16,Kancheepuram,Kancheepuram,OLI MOHAMAD PET MUNICIPAL MIDDLE SCHOOL,33030105403,Primary School,Tamil,631502,Yes,No,1967,309,12,12,14,0,2,20800,8050,12750,No,No,No,Yes,No,No,Own,2,1,Incompleted,10-03-2013,10-03-2013
17,Kancheepuram,Kancheepuram,K V K NAYAGAR MUNICIPAL MIDDLE SCHOOL,33030105405,Secondary School,Tamil,631502,No,No,1913,90,3,7,7,4,4,753.5,608,145.5,No,No,Yes,No,No,No,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
18,Kancheepuram,Kancheepuram,DHARGA MUSLIM MUNICIPAL PRIMARY SCHOOL,33030105408,Primary School,Tamil,631502,Yes,Yes,1934,46,0,3,3,2,1,234,234,0,Yes,No,Yes,Yes,No,Yes,Corporation,2,1,Incompleted,10-03-2013,10-03-2013
19,Kancheepuram,Kancheepuram,PUDHUPALAYAM MUNICIPAL ELEMENTARY SCHOOL,33030105411,Primary School,Tamil,631501,Yes,No,1934,76,6,4,4,5,0,6019,1800,4219,Yes,No,Yes,Yes,Yes,No,Own,2,3,Incompleted,10-03-2013,10-03-2013
20,Kancheepuram,Kancheepuram,OKKAPIRANTHAN MUNICIPAL MIDDLE SCHOOL,33030105428,Primary School,Tamil,631502,Yes,Yes,1921,107,2,7,6,0,3,1698,1698,0,No,No,No,Yes,Yes,No,Own,0,1,Incompleted,10-03-2013,10-03-2013
